"externalId","source_path","exists","creationTime","lastWriteTime","title"
"aiopt-ff1635badd4f4f03","技术学习\后端与数据库\Java\Java学习笔记.md","True","2024-08-23T21:57:38.5300000+08:00","2023-02-17T13:56:26.0000000+08:00","【AI优化】Java 基础学习笔记：从语法到集合和树结构的路线图"
"aiopt-24d2b3f580e989bf","技术学习\后端与数据库\MySQL\Mysql数据库学习笔记.md","True","2024-08-23T21:57:38.5300000+08:00","2022-10-25T15:02:38.0000000+08:00","【AI优化】MySQL 学习笔记：从建表、查询到事务、索引和 JDBC"
"aiopt-23aa07591300883b","技术学习\后端与数据库\Nginx与部署\Nginx知识.md","True","2024-08-23T21:57:38.5600000+08:00","2022-11-24T00:23:50.0000000+08:00","【AI优化】Nginx 小知识：Vue 打包后的接口代理和 PID 报错处理"
"aiopt-7b66a982d4d762b8","技术学习\后端与数据库\Nginx与部署\PM2部署Egg项目到服务器.md","True","2024-08-23T21:57:38.5600000+08:00","2022-11-25T17:03:44.0000000+08:00","【AI优化】用 PM2 部署 Egg.js 项目：端口、入口文件、HTTPS 和常用命令"
"aiopt-84fe6f7a76a1e9fe","技术学习\后端与数据库\Node.js\Node.js学习笔记.md","True","2024-08-23T21:57:38.5500000+08:00","2022-11-26T21:34:56.0000000+08:00","【AI优化】Node.js 学习笔记：从 HTTP、文件系统到 Express、Koa 和 MongoDB"
"aiopt-976bc2fc4b6d0f06","技术学习\开发工具与协作\git团队协同.md","True","2024-08-23T21:57:38.5600000+08:00","2022-11-24T00:23:50.0000000+08:00","【AI优化】Git 团队协同入门：从 clone 到 commit、push 和冲突处理"
"aiopt-f02dba1eb4c7a435","技术学习\开发工具与协作\github美化.md","True","2024-08-23T21:57:38.5300000+08:00","2022-11-25T17:15:16.0000000+08:00","【AI优化】GitHub Profile README 美化：把个人主页做成工程名片"
"aiopt-abeafea63a15d530","技术学习\数据结构与算法\刷题\力扣刷题笔记.md","True","2024-08-23T21:57:38.5700000+08:00","2022-11-24T00:23:50.0000000+08:00","【AI优化】力扣刷题笔记：异或、去重、数独校验和字符计数"
"aiopt-9b1f22b5a71e3794","技术学习\数据结构与算法\Java\Java数据结构.md","True","2024-08-23T21:57:38.5600000+08:00","2022-11-24T00:23:50.0000000+08:00","【AI优化】Java 数据结构入门：复杂度、存储结构和五种排序算法"
"aiopt-47b5319a07097730","技术学习\数据结构与算法\Java\Java刷题集合类.md","True","2024-08-23T21:57:38.5600000+08:00","2022-11-24T00:23:50.0000000+08:00","【AI优化】Java 刷题集合类速查：数组、List、栈、队列、堆、Set、Map 和字符串"
"aiopt-a837a1ad733f07ef","技术学习\数据结构与算法\JavaScript\重学JavaScript数据结构.md","True","2024-08-23T21:57:38.5700000+08:00","2022-11-24T00:23:50.0000000+08:00","【AI优化】重学 JavaScript 数据结构：数组 API、字符串转换和 fill 的引用陷阱"
"aiopt-2c353ee4ad7197d3","技术学习\数据结构与算法\JavaScript\JS做题笔记.md","True","2024-08-23T21:57:38.5600000+08:00","2022-11-24T00:23:50.0000000+08:00","【AI优化】JS 做题笔记：相等比较、this、数组方法和异步闭包陷阱"
"aiopt-50e0b5589326b514","技术学习\前端开发\工程化与构建\重学Webpack.md","True","2024-08-23T21:57:38.5400000+08:00","2023-07-06T20:41:46.0000000+08:00","【AI优化】重学 Webpack：从跨域到构建性能的一张路线图"
"aiopt-1be80917e252e5b6","技术学习\前端开发\可视化\ECharts学习笔记.md","True","2024-08-23T21:57:38.5400000+08:00","2022-10-25T15:02:38.0000000+08:00","【AI优化】ECharts 学习笔记：从 option 到可视化大屏的实现路径"
"aiopt-3ff596610003a2f4","技术学习\前端开发\网络请求与接口\Axios多重封装教程.md","True","2024-08-23T21:57:38.5600000+08:00","2022-11-24T00:23:50.0000000+08:00","【AI优化】Axios 多重封装：用 TypeScript 管住实例、拦截器和 Loading"
"aiopt-d3f8ecdc2b511f4a","技术学习\前端开发\微信小程序\微信小程序菜单的左右联动解决方案.md","True","2024-08-23T21:57:38.5700000+08:00","2022-11-24T00:23:50.0000000+08:00","【AI优化】微信小程序菜单左右联动：用 scroll-view 做点单页分类导航"
"aiopt-d456bba629a86fe0","技术学习\前端开发\微信小程序\微信小程序学习笔记.md","True","2024-08-23T21:57:38.5500000+08:00","2022-10-25T15:05:56.0000000+08:00","【AI优化】微信小程序学习笔记：从目录结构到生命周期的入门框架"
"aiopt-a5b95e844fc30cc9","技术学习\前端开发\微信小程序\微信小程序云开发.md","True","2024-08-23T21:57:38.5500000+08:00","2022-11-26T20:32:38.0000000+08:00","【AI优化】微信小程序云开发：数据库、云函数和云存储的最小闭环"
"aiopt-e9461c7fb5e04e31","技术学习\前端开发\微信小程序\微信小程序知识点补充.md","True","2024-08-23T21:57:38.5700000+08:00","2022-11-24T00:23:50.0000000+08:00","【AI优化】微信小程序组件补充：slot 和样式隔离怎么用"
"aiopt-7f3ff8993a0baba9","技术学习\前端开发\性能优化\前端性能优化.md","True","2024-08-23T21:57:38.5500000+08:00","2022-11-25T17:22:40.0000000+08:00","【AI优化】前端性能优化：从 V8 执行链路理解 JavaScript 写法"
"aiopt-7f75d3a31241ab68","技术学习\项目实战\小程序项目\依尘优购小程序.md","True","2024-08-23T21:57:38.5700000+08:00","2022-11-24T00:23:50.0000000+08:00","【AI优化】依尘优购小程序：一个电商小程序项目的页面、状态和支付链路"
"aiopt-67976e200b657e4c","技术学习\前端开发\CSS\常用CSS.md","True","2024-08-23T21:57:38.5700000+08:00","2022-11-24T00:23:50.0000000+08:00","【AI优化】常用 CSS：一段背景图代码里的四个关键点"
"aiopt-2c2363d828785aeb","技术学习\前端开发\JavaScript\高阶JavaScript笔记.md","True","2024-08-23T21:57:38.5400000+08:00","2023-03-12T21:51:42.0000000+08:00","【AI优化】高阶 JavaScript 笔记：从执行模型到响应式原理"
"aiopt-232fb8dab166c589","技术学习\前端开发\JavaScript\重学js基础.md","True","2024-08-23T21:57:38.5400000+08:00","2023-01-09T14:26:14.0000000+08:00","【AI优化】重学 JS 基础：DOM、事件、BOM 和 JSON 的浏览器主线"
"aiopt-960f87067fbd26f7","技术学习\前端开发\JavaScript\JavaScript设计原理.md","True","2024-08-23T21:57:38.5800000+08:00","2023-02-11T17:10:26.0000000+08:00","【AI优化】JavaScript 设计模式：用“封装变化”串起创建型、结构型和行为型"
"aiopt-b8a92c2a7dd26259","技术学习\前端开发\Vue\Vue2.js学习笔记.md","True","2024-08-23T21:57:38.5500000+08:00","2022-11-26T22:47:42.0000000+08:00","【AI优化】Vue2 学习笔记：从模板语法到组件通信和 Webpack"
"aiopt-417c588430236ec2","技术学习\前端开发\Vue\Vue3.js学习笔记.md","True","2024-08-23T21:57:38.5500000+08:00","2023-03-14T16:55:44.0000000+08:00","【AI优化】Vue3 学习笔记：模板、组件、Composition API、Router、Vuex 和 Mini-Vue"
"aiopt-405e68f202646c9e","技术学习\前端开发\Vue\Vue3+TS项目初始化配置.md","True","2024-08-23T21:57:38.5700000+08:00","2022-11-24T01:07:36.0000000+08:00","【AI优化】Vue3 + TypeScript 项目初始化：从代码规范到权限 CMS 架构"
"aiopt-05d0c78e08dc4a1d","面试求职\前端面试\面试准备.md","True","2024-08-23T21:57:38.5900000+08:00","2023-05-17T21:01:00.0000000+08:00","【AI优化】前端面试准备：把 HTML、CSS 和 JS 高频题串成一条主线"
"aiopt-801018adbb8653ff","面试求职\前端面试\我的面经.md","True","2024-08-23T21:57:38.5900000+08:00","2022-10-25T15:02:34.0000000+08:00","【AI优化】前端面经复盘：从输入 URL 到页面渲染，面试官到底在问什么"
"aiopt-5c3575b649b591ef","openclaw\OpenClaw-记忆管理系统搭建记录.md","True","2026-03-15T03:42:11.3921044+08:00","2026-03-15T03:42:11.3931043+08:00","【AI优化】OpenClaw 记忆管理系统搭建记录：先能记住，再能检索，最后自动维护"
"aiopt-fb4ee7b3093d56aa","Rust学习\【AI 生成】rust-learning-stage4-5.md","True","2026-03-07T00:22:16.0561792+08:00","2026-03-07T00:22:16.0571834+08:00","【AI优化】Rust 学习第四、第五阶段：从抽象能力走到工程化和 WASM"
"aiopt-8809a2e555230ee0","技术学习\前端开发\React\React18学习笔记.md","True","2024-08-23T21:57:38.5500000+08:00","2023-03-23T20:17:58.0000000+08:00","【AI优化】React 18 学习笔记：从 JSX 到 Hooks 的可执行路线"
"aiopt-2b5e3af160a62b71","技术学习\前端开发\React\React进阶指南.md","True","2024-08-23T21:57:38.5800000+08:00","2023-03-20T11:32:30.0000000+08:00","【AI优化】React 进阶指南：把 JSX、Fiber、调度、Hooks 串成一条更新链路"
